Algorithm,Data Size,Data Type,Thread Count,Average Time (ms),Min Time (ms),Max Time (ms),Std Dev,Speedup,Correctness
Parallel Radix Sort,1000000,Random,8,28.5998,27.003,32.133,1.93503,5.23883,false
Parallel Radix Sort,1000000,Random,16,17.2274,16.712,18.575,0.680315,8.69717,false
Parallel Radix Sort,1000000,Random,32,12.0482,10.923,15.718,1.84993,12.4358,false
Parallel Radix Sort,1000000,Random,64,13.8358,12.371,16.996,1.66232,10.8291,false
Parallel Radix Sort,1000000,Nearly Sorted,1,152.459,149.475,162.106,4.86453,1,false
Parallel Radix Sort,1000000,Nearly Sorted,2,90.8434,90.262,92.854,1.00646,1.67827,false
Parallel Radix Sort,1000000,Nearly Sorted,4,48.2202,48.113,48.304,0.0774788,3.16173,false
Parallel Radix Sort,1000000,Nearly Sorted,8,26.9162,26.263,28.56,0.849191,5.66422,false
Parallel Radix Sort,1000000,Nearly Sorted,16,17.0284,16.212,18.705,0.883069,8.95324,false
Parallel Radix Sort,1000000,Nearly Sorted,32,12.2168,11.825,13.243,0.532066,12.4795,false
Parallel Radix Sort,1000000,Nearly Sorted,64,13.55,11.907,17.067,1.89304,11.2516,false
Parallel Radix Sort,1000000,Reverse Sorted,1,149.437,149.314,149.594,0.116989,1,false
Parallel Radix Sort,1000000,Reverse Sorted,2,91.2386,90.803,92.767,0.764839,1.63787,false
Parallel Radix Sort,1000000,Reverse Sorted,4,48.6946,48.441,49.146,0.247034,3.06886,false
Parallel Radix Sort,1000000,Reverse Sorted,8,27.5668,26.814,28.463,0.586374,5.4209,false
Parallel Radix Sort,1000000,Reverse Sorted,16,18.2772,17.172,21.095,1.4682,8.17614,false
Parallel Radix Sort,1000000,Reverse Sorted,32,13.7452,12.826,17.301,1.77814,10.8719,false
Parallel Radix Sort,1000000,Reverse Sorted,64,15.2254,12.641,24.129,4.45568,9.81498,false
Parallel Radix Sort,1000000,Few Unique,1,47.7942,47.731,47.867,0.0518706,1,false
Parallel Radix Sort,1000000,Few Unique,2,26.304,25.731,28.308,1.00381,1.81699,false
Parallel Radix Sort,1000000,Few Unique,4,14.8834,14.301,16.113,0.631218,3.21124,false
Parallel Radix Sort,1000000,Few Unique,8,9.1032,8.923,9.529,0.216812,5.25026,false
Parallel Radix Sort,1000000,Few Unique,16,7.3184,6.699,9.578,1.13126,6.53069,false
Parallel Radix Sort,1000000,Few Unique,32,5.8616,5.197,7.45,0.824701,8.15378,false
Parallel Radix Sort,1000000,Few Unique,64,10.1338,6.136,24.771,7.32098,4.71632,false
Parallel Radix Sort,5000000,Random,1,744.188,744.051,744.297,0.0846248,1,false
Parallel Radix Sort,5000000,Random,2,445.028,441.516,448.844,2.72783,1.67223,false
Parallel Radix Sort,5000000,Random,4,242.719,241.836,244.753,1.05924,3.06605,false
Parallel Radix Sort,5000000,Random,8,126.006,124.979,126.707,0.649486,5.90599,false
Parallel Radix Sort,5000000,Random,16,71.9904,65.454,91.996,10.0927,10.3373,false
Parallel Radix Sort,5000000,Random,32,42.577,40.196,46.691,2.21626,17.4786,false
Parallel Radix Sort,5000000,Random,64,54.3424,34.444,81.97,20.3471,13.6944,false
Parallel Radix Sort,5000000,Nearly Sorted,1,745.15,744.181,746.52,0.858458,1,false
Parallel Radix Sort,5000000,Nearly Sorted,2,452.588,447.812,459,4.98555,1.64642,false
Parallel Radix Sort,5000000,Nearly Sorted,4,237.487,235.04,241.547,2.27737,3.13764,false
Parallel Radix Sort,5000000,Nearly Sorted,8,125.811,122.623,135.702,4.97443,5.92278,false
Parallel Radix Sort,5000000,Nearly Sorted,16,70.4166,67.619,75.166,2.77513,10.582,false
Parallel Radix Sort,5000000,Nearly Sorted,32,43.7092,41.779,48.642,2.51651,17.0479,false
Parallel Radix Sort,5000000,Nearly Sorted,64,39.6816,35.497,46.435,4.0532,18.7782,false
Parallel Radix Sort,5000000,Reverse Sorted,1,758.052,757.264,758.958,0.592508,1,false
Parallel Radix Sort,5000000,Reverse Sorted,2,468.68,465.484,471.874,2.31585,1.61742,false
Parallel Radix Sort,5000000,Reverse Sorted,4,247.061,244.33,252.001,2.71775,3.06828,false
Parallel Radix Sort,5000000,Reverse Sorted,8,130.564,128.752,131.564,0.969233,5.80598,false
Parallel Radix Sort,5000000,Reverse Sorted,16,74.0072,72.913,75.971,1.0614,10.243,false
Parallel Radix Sort,5000000,Reverse Sorted,32,51.4536,50.78,52.648,0.630599,14.7327,false
Parallel Radix Sort,5000000,Reverse Sorted,64,42.1806,38.432,46.929,3.27867,17.9716,false
Parallel Radix Sort,5000000,Few Unique,1,234.655,233.77,235.483,0.706448,1,false
Parallel Radix Sort,5000000,Few Unique,2,125.112,122.272,126.861,1.52087,1.87556,false
Parallel Radix Sort,5000000,Few Unique,4,67.3862,66.023,70.209,1.45734,3.48224,false
Parallel Radix Sort,5000000,Few Unique,8,37.5312,36.282,39.017,0.901522,6.25226,false
Parallel Radix Sort,5000000,Few Unique,16,24.883,23.556,27.416,1.35937,9.43033,false
Parallel Radix Sort,5000000,Few Unique,32,18.5828,16.211,23.45,2.52051,12.6275,false
Parallel Radix Sort,5000000,Few Unique,64,24.1584,16.068,32.547,7.20322,9.71318,false
Sequential Radix Sort,10000,Random,1,1.0594,0.988,1.319,0.130006,1,true
Sequential Radix Sort,10000,Nearly Sorted,1,1.0108,0.99,1.084,0.0366573,1,true
Sequential Radix Sort,10000,Reverse Sorted,1,0.6846,0.659,0.709,0.0205777,1,true
Sequential Radix Sort,10000,Few Unique,1,0.353,0.317,0.445,0.0467204,1,true
Sequential Radix Sort,100000,Random,1,10.11,10.082,10.177,0.0346814,1,true
Sequential Radix Sort,100000,Nearly Sorted,1,9.9726,9.5,10.109,0.236899,1,true
Sequential Radix Sort,100000,Reverse Sorted,1,10.0946,10.047,10.224,0.0670451,1,true
Sequential Radix Sort,100000,Few Unique,1,3.0466,2.946,3.384,0.169538,1,true
Sequential Radix Sort,500000,Random,1,52.0334,51.903,52.346,0.159407,1,true
Sequential Radix Sort,500000,Nearly Sorted,1,51.2814,48.33,52.086,1.47651,1,true
Sequential Radix Sort,500000,Reverse Sorted,1,55.6142,55.465,55.929,0.162128,1,true
Sequential Radix Sort,500000,Few Unique,1,15.2982,15.042,16.226,0.464432,1,true
Sequential Radix Sort,1000000,Random,1,102.547,99.736,113.568,5.51078,1,true
Sequential Radix Sort,1000000,Nearly Sorted,1,98.5916,94.277,99.966,2.16815,1,true
Sequential Radix Sort,1000000,Reverse Sorted,1,108.036,107.821,108.538,0.259854,1,true
Sequential Radix Sort,1000000,Few Unique,1,29.625,29.188,30.965,0.673915,1,true
Sequential Radix Sort,5000000,Random,1,479.274,473.543,487.758,6.11943,1,true
Sequential Radix Sort,5000000,Nearly Sorted,1,471.893,464.786,481.958,5.56421,1,true
Sequential Radix Sort,5000000,Reverse Sorted,1,776.734,774.244,779.265,1.88984,1,true
Sequential Radix Sort,5000000,Few Unique,1,143.407,141.281,149.689,3.17371,1,true
